"Source Type","Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Record Materia","Avenging Brother","Attack","BLK","All enemies","Magical","1.50","Lightning","1.50","One group attack (1.50)","Y","All enemies","50","Black Magic",""
"Record Materia","Netherseer Adept","Attack","BLK","Single","Magical","2.60","Lightning","1.65","One single attack (2.60)","Y","Lowest HP% enemy","50","Black Magic",""
"Record Materia","Naive Heart","Attack","PHY","All enemies","Physical","1.00","-","4.50","One group attack (1.00)","Y","All enemies","50","Special",""
"Record Materia","Swift Charge","Attack","PHY","Single","Physical","1.00","-","0.01","One single attack (1.00)","Y","Lowest HP% enemy","50","Combat",""
"Record Materia","Offbeat Warrior","Attack","PHY","Single","Physical","2.80","-","1.50","One single attack (2.80)","Y","Lowest HP% enemy","50","Special",""
"Record Materia","Divine Smile","Attack","BLK","Single enemy","Magical","2.60","Earth","1.65","One single attack (2.60)","Y","Lowest HP% enemy","50","Black Magic",""
"Legend Materia","Aspiring Artisan","Aspiring Artisan","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","Special",""
"Legend Materia","Onslaught (Wedge)","Ambush","NAT","Single enemy","Hybrid","-","Wind, NE","0.01","Four single ranged hybrid attacks (0.51 or 2.04 each)","Y","Lowest HP% enemy","0","?","31520017"
"Legend Materia","Steadfast Warrior","Steadfast Warrior","PHY","Single enemy","Physical","1.26","Holy, NE","0.01","Three single attacks (0.42 each), restores 1500 HP to the lowest HP% ally","N","Lowest HP% enemy","0","Knight",""
"Legend Materia","Warriors' Ballad","Warriors' Ballad","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Fickle Fortune","Fickle Fortune","NAT","All allies","","","","0.01","Restores HP for 30% of the target's maximum HP","N","All allies","0","Special",""
"Legend Materia","Onslaught (Garland)","Twin Swords","PHY","Single enemy","Physical","2.16","Dark, NE","0.01","Four single attacks (0.54 each)","Y","Lowest HP% enemy","0","Darkness","31520004"
"Legend Materia","Hellforged Might","Hellforged Might","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10%] for 15 seconds","N","Lowest HP% enemy","0","Special",""
"Legend Materia","Princess's Hope","Princess's Hope","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","Special",""
"Legend Materia","Ancestral Ardor","Ancestral Ardor","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","Four single ranged hybrid attacks (0.50 or 2.04 each), removes positive effects","Y","Lowest HP% enemy","0","Support","30525024"
"Legend Materia","Stoic Knight","Stoic Knight","PHY","Single enemy","Physical","1.26","Earth, NE","0.01","Three single attacks (0.42 each), restores 1500 HP to the lowest HP% ally","Y","Lowest HP% enemy","0","Knight",""
"Legend Materia","Effusing Darkness","Effusing Darkness","BLK","All enemies","Magical","4.4","Dark","0.01","One group attack (4.40)","Y","All enemies","0","Black Magic",""
"Legend Materia","Onslaught (Arc)","Reflux Leviath","NAT","Single enemy","Hybrid","-","Water, Holy, NE","0.01","Three single hybrid attacks (2.81 or 2.98 each), restores one consumed ability use to the user","N","Lowest HP% enemy","0","Special","31520012"
"Legend Materia","Onslaught (Refia)","Ambush","PHY","Single enemy","Physical","?","Fire, NE","0.01","Four single attacks (? each)","Y","Lowest HP% enemy","0","?","?"
"Legend Materia","Fledging Red Wings","Fledging Red Wings","NAT","Single ally","","","","0.01","Restores HP for 40% of the target's maximum HP","N","Lowest HP% ally","0","Special",""
"Legend Materia","Unequaled Master","Unequaled Master","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning, NE","0.01","Three single hybrid attacks (0.42 or 400.50 each)","Y","Lowest HP% ally","0","Ninja","30524014"
"Legend Materia","Impartial Kindness","Impartial Kindness","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Sisterly Guidance","Sisterly Guidance","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special","30522019"
"Legend Materia","Dance Lover","Dance Lover","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Moogle Survivor","Moogle Survivor","NAT","All enemies","","","","0.01","[ATK, MAG and MND -30%] for 15 seconds","N","All enemies","0","Special",""
"Legend Materia","Fate-Defying Bet","Fate-Defying Bet","PHY","Single enemy","Physical","0.25","-","0.01","One single ranged attack (0.55), [ATK, MAG and MND -30%] for 15 seconds","Y","Random enemy without status","0","Special",""
"Legend Materia","Waker of Hope","Waker of Hope","NAT","All allies","","","","0.01","Restores HP for 30% of the target's maximum HP","N","All allies","0","Special",""
"Legend Materia","Vermin Exterminator","Vermin Exterminator","PHY","Random enemies","Physical","2.17","Fire, NE","0.01","Seven random ranged attacks (0.31 each)","Y","Random enemies","0","Machinist",""
"Legend Materia","Motherly Protector","Motherly Protector","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Courage Boost!","Courage Boost!","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","Special",""
"Legend Materia","SOLDIER Follow-Up","SOLDIER Follow-Up","PHY","Single enemy","Physical","1.08","Wind","0.01","One single attack (1.08)","Y","Lowest HP% enemy","0","Celerity",""
"Legend Materia","Dream Fulfilled","Dream Fulfilled","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","Special",""
"Legend Materia","Stocky Sidekick","Up a Point","PHY","Single enemy","Physical","2.16","Water, Ice, Earth, NE","0.01","Four single ranged attacks (0.54 each)","Y","Lowest HP% enemy","0","Dragoon","30528014"
"Legend Materia","Onslaught (Fujin)","Geki","BLK","Single enemy","Magical","?","Wind, NE","0.01","Four single attacks (? each)","Y","Lowest HP% enemy","0","Black Magic","?"
"Legend Materia","Lover of the Arts","Lover of the Arts","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","0","Special",""
"Legend Materia","Devoted Dragoon","Devoted Dragoon","PHY","Single enemy","Physical","1.08","Wind, NE","0.01","Two single ranged attacks (0.54 each), smart ether 1 to the user","N","Lowest HP% enemy","0","Dragoon",""
"Legend Materia","Hornless Pride","Hornless Pride","NAT","Single enemy","","","","0.01","Causes [Imperil Water 10%] for 15 seconds","N","Lowest HP% enemy","0","Special",""
"Legend Materia","Renowned Grace","Renowned Grace","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All enemies","0","Special",""
"Legend Materia","Onslaught (Ayame)","Ambush","PHY","Single enemy","Physical","1.15","Ice, NE","0.01","One single attack (1.15)","Y","Lowest HP% enemy","0","?",""
"Legend Materia","Dreams of the Dance","Dreams of the Dance","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Youngest Knight","Youngest Knight","NAT","Single ally","","","","0.01","Restores HP for 40% of the target's maximum HP","N","Lowest HP% ally","0","Special",""
"Legend Materia","Chosen Future","Fulminating Flash","BLK","Single enemy","Magical","9.09","Lightning, NE","0.01","Three single attacks (3.03 each), restores 1500 HP to the lowest HP% ally","N","Lowest HP% enemy","0","Special",""
"Legend Materia","Onslaught (Basch)","Ambush","PHY","Single enemy","Physical","1.47","Holy, Fire, NE","0.01","Three single attacks (0.49 each), 100% hit rate, restores 1500 HP to the lowest HP% ally","N","Lowest HP% enemy","0","Knight","31520016"
"Legend Materia","Gentle Atonement","Gentle Atonement","WHT","Single enemy","Magical","2.00","Holy","0.01","One single attack (2.00), [DEF and RES -20%] for 25 seconds","Y","Lowest HP% enemy","0","White Magic",""
"Legend Materia","Roar On High","Roar On High","PHY","Single enemy","Physical","2.16","Wind, NE","0.01","Four single ranged attacks (0.54 each)","Y","Lowest HP% enemy","0","Dragoon",""
"Legend Materia","Price of Power","Price of Power","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Onslaught (Alisaie)","Ambush","BLK","Single enemy","Magical","?","Wind, Lightning, NE","0.01","One single attack (?)","Y","Lowest HP% enemy","0","?","?"
"Legend Materia","Onslaught (Ardyn)","Daemonification","PHY","Single enemy","Physical","1.17","Dark, Fire, NE","0.01","Three single attacks (0.39 each), heals the user for 20% of the damage dealt","Y","Lowest HP% enemy","0","Darkness","31520002"
"Legend Materia","Onslaught (Aranea)","Ambush","PHY","Single enemy","Physical","1.15","Lightning, Dark, NE","0.01","One single ranged attack (1.15)","Y","Lowest HP% enemy","0","Dragoon","31520022"
"Legend Materia","Kindhearted Moogle","Kindhearted Moogle","NAT","All enemies","","","","0.01","[ATK, MAG and MND -30%] for 15 seconds","N","All enemies","0","Special",""
"Legend Materia","Southern Sky Tactics","Southern Sky Tactics","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","N","All allies","0","Special",""
"Legend Materia","Onslaught (Delita)","Hero-King's Blade","PHY","Single enemy","Physical","2.16","Holy, Fire, Lightning, Ice","0.01","Four single attacks (0.54 each)","Y","Lowest HP% enemy","0","Spellblade","31520011"
"Legend Materia","Saint's Fire","Saint's Fire","WHT","Single enemy","Magical","5.05","Holy, Fire, NE","0.01","One single attack (5.05)","N","Lowest HP% enemy","0","White Magic",""
"Legend Materia","Onslaught (King)","Ambush","PHY","Single enemy","Physical","?","Lightning, NE","0.01","Four single ranged attacks (? each)","Y","Lowest HP% enemy","0","?","?"
